platform	experiment	model_or_workload	status	path_or_note
linux_intel	characterization_cache	heavy_eviction_exact_xint8.onnx	bundled	by_platform/linux_intel/characterization_cache/heavy_eviction_exact_xint8.onnx
linux_intel	characterization_power	resnet50_mac_exact_b1.onnx	bundled	by_platform/linux_intel/characterization_power/resnet50_mac_exact_b1.onnx
linux_intel	characterization_cross_component_interrupt	resnet152_ov_dynamic.xml + resnet152_ov_dynamic.bin	bundled	by_platform/linux_intel/characterization_cross_component_interrupt/
linux_amd	characterization_cache	heavy_eviction_exact_xint8.onnx	bundled	by_platform/linux_amd/characterization_cache/heavy_eviction_exact_xint8.onnx
linux_amd	characterization_power	resnet50_mac_exact_b1_int8.onnx	bundled	by_platform/linux_amd/characterization_power/resnet50_mac_exact_b1_int8.onnx
linux_amd	characterization_cross_component_interrupt	resnet152_int8.onnx	bundled	by_platform/linux_amd/characterization_cross_component_interrupt/resnet152_int8.onnx
macos_apple_m2	characterization_cache	EvictionModel_Heavy.mlpackage	bundled	by_platform/macos_apple_m2/characterization_cache/EvictionModel_Heavy.mlpackage
macos_apple_m2	characterization_power	ResNet50_ANE.mlpackage	bundled	by_platform/macos_apple_m2/characterization_power/ResNet50_ANE.mlpackage
macos_apple_m2	characterization_cross_component_interrupt	resnet152_PyTorch.mlmodelc	bundled	by_platform/macos_apple_m2/characterization_cross_component_interrupt/resnet152_PyTorch.mlmodelc
macos_apple_m4	characterization_cache	EvictionModel_Heavy.mlpackage	bundled	by_platform/macos_apple_m4/characterization_cache/EvictionModel_Heavy.mlpackage
macos_apple_m4	characterization_power	ResNet50_ANE.mlpackage	bundled	by_platform/macos_apple_m4/characterization_power/ResNet50_ANE.mlpackage
macos_apple_m4	characterization_cross_component_interrupt	ResNet50_B8_Size224.mlpackage	bundled	by_platform/macos_apple_m4/characterization_cross_component_interrupt/ResNet50_B8_Size224.mlpackage
macos_apple_m5pro	characterization_cache	EvictionModel_Heavy.mlpackage	bundled	by_platform/macos_apple_m5pro/characterization_cache/EvictionModel_Heavy.mlpackage
macos_apple_m5pro	characterization_power	ResNet50_B1_Size224_ANE.mlpackage	bundled	by_platform/macos_apple_m5pro/characterization_power/ResNet50_B1_Size224_ANE.mlpackage
macos_apple_m5pro	characterization_cross_component	resnet152_PyTorch.mlmodelc	bundled	by_platform/macos_apple_m5pro/characterization_cross_component/resnet152_PyTorch.mlmodelc
